animal_id,outcome_type
A754585,Transfer
A737284,Euthanasia
A536136,Return to Owner
A675440,Adoption
A586787,Adoption
A395451,Return to Owner
A733007,Transfer
A718446,Return to Owner
A701211,Transfer
A704849,Transfer
A542056,Transfer
A737876,Transfer
A670762,Adoption
A636667,Transfer
A687537,Adoption
A730391,Transfer
A725151,Adoption
A718366,Adoption
A666121,Adoption
A741906,Adoption
A675267,Transfer
A762192,Transfer
A751565,Adoption
A673545,Adoption
A706164,Transfer
A663920,Adoption
A668199,Return to Owner
A668741,Adoption
A677429,Return to Owner
A708437,Adoption
A687242,Adoption
A743886,Adoption
A718970,Adoption
A681095,Adoption
A708074,Adoption
A755252,Adoption
A745179,Adoption
A761526,Adoption
A735257,Transfer
A548552,Adoption
A717947,Adoption
A702836,Transfer
A762189,Adoption
A713647,Transfer
A287017,Return to Owner
A663170,Return to Owner
A706598,Transfer
A732976,Adoption
A759819,Adoption
A659889,Transfer
A729953,Adoption
A672347,Adoption
A732971,Transfer
A666811,Transfer
A728039,Transfer
A714828,Transfer
A751934,Transfer
A697503,Adoption
A720257,Transfer
A726629,Transfer
A764736,Adoption
A691943,Adoption
A754381,Adoption
A730496,Transfer
A679069,Return to Owner
A703461,Return to Owner
A745886,Return to Owner
A735731,Adoption
A687451,Transfer
A720425,Adoption
A697217,Transfer
A710108,Transfer
A729498,Adoption
A667756,Transfer
A685166,Adoption
A669731,Adoption
A728160,Adoption
A677323,Adoption
A731419,Adoption
A732207,Transfer
A664114,Transfer
A742552,Return to Owner
A702391,Adoption
A727188,Adoption
A674628,Transfer
A723499,Transfer
A736982,Adoption
A711796,Return to Owner
A699563,Return to Owner
A669425,Transfer
A706242,Return to Owner
A735577,Adoption
A731216,Transfer
A756078,Transfer
A715901,Transfer
A679321,Adoption
A720325,Adoption
A708412,Transfer
A717273,Return to Owner
A682864,Transfer
A724524,Return to Owner
A710770,Transfer
A689130,Transfer
A700247,Return to Owner
A739869,Transfer
A715606,Transfer
A746999,Adoption
A713699,Adoption
A755602,Transfer
A765685,Adoption
A753228,Transfer
A667748,Transfer
A743041,Adoption
A679146,Transfer
A764716,Transfer
A717028,Transfer
A684983,Adoption
A674119,Adoption
A765753,Return to Owner
A755741,Adoption
A708377,Adoption
A616584,Adoption
A706126,Transfer
A755166,Transfer
A726591,Adoption
A702093,Transfer
A668608,Transfer
A674792,Euthanasia
A728497,Transfer
A724648,Adoption
A697769,Return to Owner
A736469,Return to Owner
A693735,Return to Owner
A717571,Adoption
A738952,Adoption
A741604,Adoption
A723866,Adoption
A670659,Transfer
A712590,Transfer
A701305,Transfer
A704629,Transfer
A714671,Adoption
A726979,Transfer
A701025,Euthanasia
A762230,Transfer
A735392,Return to Owner
A675069,Adoption
A544559,Transfer
A745771,Return to Owner
A676966,Adoption
A711810,Transfer
A702349,Adoption
A729509,Adoption
A761284,Adoption
A748907,Adoption
A670391,Adoption
A753087,Adoption
A759342,Adoption
A695774,Adoption
A651067,Return to Owner
A695973,Adoption
A620515,Return to Owner
A758789,Transfer
A763576,Adoption
A683577,Adoption
A670732,Transfer
A750972,Return to Owner
A711529,Transfer
A753204,Adoption
A719484,Adoption
A710191,Adoption
A696699,Transfer
A681924,Transfer
A679498,Adoption
A711844,Return to Owner
A712935,Return to Owner
A671789,Transfer
A693514,Adoption
A734160,Transfer
A743572,Adoption
A720277,Return to Owner
A684513,Adoption
A730545,Adoption
A682162,Return to Owner
A711096,Adoption
A614825,Adoption
A722681,Transfer
A676832,Adoption
A743319,Transfer
A722086,Return to Owner
A685918,Adoption
A711041,Adoption
A688204,Adoption
A737100,Adoption
A702902,Transfer
A655702,Adoption
A677698,Transfer
A674910,Transfer
A686612,Adoption
A742923,Adoption
A721981,Adoption
A708973,Transfer
A700476,Transfer
A674174,Transfer
A737480,Adoption
A686756,Transfer
A671605,Adoption
A693008,Adoption
A703662,Adoption
A757068,Adoption
A706574,Transfer
A691401,Adoption
A723905,Return to Owner
A563400,Transfer
A727356,Transfer
A663980,Adoption
A666514,Return to Owner
A671089,Adoption
A702414,Transfer
A750901,Adoption
A659493,Adoption
A687404,Transfer
A742020,Adoption
A690220,Adoption
A714073,Transfer
A728797,Adoption
A724696,Adoption
A687399,Transfer
A705568,Adoption
A704818,Transfer
A674035,Adoption
A750767,Adoption
A705027,Adoption
A728222,Adoption
A573162,Return to Owner
A759118,Adoption
A721139,Adoption
A663740,Adoption
A666622,Transfer
A706754,Transfer
A718801,Transfer
A665071,Adoption
A743166,Adoption
A672409,Return to Owner
A732526,Adoption
A685806,Adoption
A734379,Transfer
A500361,Return to Owner
A675066,Return to Owner
A691732,Adoption
A694204,Adoption
A700989,Transfer
A761992,Adoption
A702011,Adoption
A727462,Transfer
A728569,Return to Owner
A746971,Adoption
A696041,Return to Owner
A713063,Adoption
A750603,Transfer
A690921,Transfer
A701067,Disposal
A749939,Transfer
A741798,Return to Owner
A694454,Transfer
A688241,Transfer
A713803,Adoption
A678225,Transfer
A552948,Return to Owner
A749298,Adoption
A680822,Adoption
A666028,Transfer
A731091,Transfer
A704063,Adoption
A464189,Return to Owner
A684864,Transfer
A756865,Adoption
A706397,Adoption
A704851,Euthanasia
A714925,Transfer
A705745,Adoption
A736682,Transfer
A677480,Transfer
A677813,Transfer
A693543,Transfer
A699005,Adoption
A711319,Adoption
A727636,Adoption
A694113,Adoption
A675677,Transfer
A741785,Adoption
A749517,Adoption
A702023,Adoption
A717003,Adoption
A669581,Adoption
A742458,Adoption
A702593,Transfer
A748610,Transfer
A680487,Transfer
A705198,Adoption
A749763,Transfer
A756047,Return to Owner
A748104,Transfer
A688600,Transfer
A681449,Return to Owner
A674080,Euthanasia
A735349,Transfer
A705855,Adoption
A692641,Transfer
A717270,Return to Owner
A745169,Adoption
A747010,Transfer
A752582,Adoption
A748746,Transfer
A650820,Return to Owner
A485674,Adoption
A757985,Euthanasia
A736847,Adoption
A764083,Adoption
A261398,Return to Owner
A697272,Transfer
A737849,Transfer
A728841,Adoption
A689836,Transfer
A727751,Adoption
A728181,Transfer
A737069,Adoption
A717001,Adoption
A735767,Transfer
A682404,Adoption
A763578,Adoption
A671934,Adoption
A756483,Transfer
A642622,Adoption
A684505,Adoption
A680099,Adoption
A757415,Transfer
A686506,Transfer
A677699,Transfer
A736694,Transfer
A742491,Adoption
A746340,Transfer
A716634,Adoption
A721615,Return to Owner
A674230,Transfer
A724655,Transfer
A660280,Return to Owner
A761111,Adoption
A631550,Adoption
A739062,Transfer
A701856,Adoption
A701837,Transfer
A662833,Return to Owner
A714646,Adoption
A747894,Adoption
A703479,Adoption
A680582,Transfer
A757912,Adoption
A758053,Adoption
A748098,Adoption
A706253,Adoption
A755618,Transfer
A736597,Transfer
A673190,Transfer
A760593,Transfer
A715145,Return to Owner
A719462,Adoption
A666952,Return to Owner
A714157,Return to Owner
A732967,Adoption
A705982,Transfer
A728153,Adoption
A675589,Adoption
A668539,Transfer
A686836,Transfer
A719609,Return to Owner
A718737,Adoption
A683377,Transfer
A718595,Adoption
A721745,Adoption
A765529,Transfer
A747720,Adoption
A743534,Adoption
A710027,Adoption
A729684,Adoption
A761122,Adoption
A712050,Adoption
A667085,Adoption
A751525,Adoption
A684676,Adoption
A683119,Adoption
A650399,Adoption
A696764,Return to Owner
A742456,Adoption
A749514,Adoption
A710411,Adoption
A740275,Transfer
A764503,Adoption
A660172,Return to Owner
A725003,Transfer
A701797,Return to Owner
A666093,Return to Owner
A706940,Adoption
A698313,Adoption
A694442,Adoption
A700917,Transfer
A727334,Transfer
A711785,Transfer
A694649,Transfer
A691863,Transfer
A708967,Adoption
A763641,Return to Owner
A727935,Transfer
A749468,Adoption
A699616,Euthanasia
A700263,Adoption
A703594,Transfer
A706590,Adoption
A737209,Adoption
A695615,Adoption
A705110,Adoption
A752028,Adoption
A666259,Return to Owner
A734747,Return to Owner
A757775,Adoption
A664952,Adoption
A733658,Adoption
A737883,Transfer
A725538,Transfer
A686896,Adoption
A762958,Transfer
A689963,Adoption
A738097,Adoption
A719780,Adoption
A672474,Return to Owner
A685302,Transfer
A705769,Adoption
A680571,Adoption
A690806,Transfer
A713929,Transfer
A751038,Adoption
A751988,Adoption
A660357,Adoption
A679262,Transfer
A727093,Transfer
A714197,Adoption
A717656,Adoption
A721360,Return to Owner
A746270,Transfer
A721503,Return to Owner
A684159,Return to Owner
A602799,Return to Owner
A630443,Transfer
A747436,Adoption
A697864,Adoption
A680851,Transfer
A695708,Euthanasia
A600763,Transfer
A701547,Transfer
A760135,Adoption
A720690,Adoption
A674025,Adoption
A740305,Transfer
A720289,Transfer
A750925,Transfer
A724964,Adoption
A707511,Adoption
A738294,Return to Owner
A695212,Transfer
A709109,Transfer
A691750,Adoption
A757685,Return to Owner
A677747,Adoption
A719098,Return to Owner
A729214,Adoption
A751451,Adoption
A707826,Adoption
A755233,Adoption
A677846,Transfer
A705585,Transfer
A744374,Transfer
A713690,Transfer
A672202,Adoption
A736461,Adoption
A684416,Transfer
A741688,Adoption
A725282,Transfer
A677441,Adoption
A712434,Adoption
A711484,Transfer
A707829,Adoption
A666329,Adoption
A665128,Transfer
A765860,Disposal
A711960,Transfer
A747125,Adoption
A730226,Transfer
A694031,Adoption
A735611,Adoption
A614657,Transfer
A765342,Transfer
A674342,Transfer
A699116,Adoption
A748896,Adoption
A728708,Transfer
A684277,Return to Owner
A707122,Transfer
A603952,Adoption
A673518,Adoption
A670698,Transfer
A664666,Adoption
A669708,Adoption
A733496,Adoption
A677622,Transfer
A732754,Adoption
A721212,Adoption
A688979,Transfer
A753968,Transfer
A750085,Transfer
A677147,Return to Owner
A702200,Transfer
A687517,Adoption
A712139,Return to Owner
A711299,Transfer
A734673,Transfer
A706505,Transfer
A728962,Transfer
A682429,Adoption
A761950,Adoption
A709639,Transfer
A761883,Adoption
A719661,Transfer
A690080,Transfer
A759449,Adoption
A728059,Adoption
A704628,Adoption
A710505,Transfer
A668800,Adoption
A719757,Adoption
A736050,Transfer
A687531,Return to Owner
A712776,Transfer
A710733,Transfer
A732729,Adoption
A684320,Transfer
A686206,Adoption
A666897,Return to Owner
A762807,Transfer
A668869,Transfer
A636269,Adoption
A685330,Transfer
A753544,Transfer
A754975,Adoption
A714465,Adoption
A707241,Transfer
A727149,Adoption
A712646,Transfer
A666100,Transfer
A715219,Adoption
A705054,Transfer
A677212,Return to Owner
A705695,Adoption
A728487,Adoption
A757648,Transfer
A730437,Adoption
A715060,Adoption
A688442,Adoption
A689091,Adoption
A716714,Adoption
A760442,Return to Owner
A682490,Transfer
A634982,Adoption
A763932,Transfer
A685764,Adoption
A531234,Return to Owner
A747899,Adoption
A701180,Adoption
A682909,Adoption
A722124,Adoption
A759720,Adoption
A739524,Adoption
A701710,Transfer
A759119,Transfer
A682733,Adoption
A668532,Transfer
A722558,Return to Owner
A751172,Adoption
A692016,Adoption
A709503,Transfer
A681195,Transfer
A550885,Transfer
A715765,Adoption
A758635,Adoption
A683644,Adoption
A720387,Adoption
A489686,Return to Owner
A722144,Adoption
A576591,Adoption
A721870,Adoption
A701376,Transfer
A675030,Return to Owner
A753448,Adoption
A692873,Adoption
A734032,Transfer
A688388,Adoption
A722876,Adoption
A737126,Transfer
A704553,Adoption
A721654,Return to Owner
A751384,Transfer
A752376,Return to Owner
A753686,Transfer
A711434,Transfer
A718136,Return to Owner
A705256,Transfer
A757879,Adoption
A696805,Return to Owner
A666806,Adoption
A754897,Transfer
A687162,Return to Owner
A719965,Adoption
A671870,Adoption
A693899,Transfer
A700135,Transfer
A671450,Adoption
A750052,Adoption
A751695,Transfer
A673971,Adoption
A675867,Transfer
A736599,Transfer
A706814,Transfer
A666599,Return to Owner
A735794,Adoption
A690391,Adoption
A760488,Adoption
A761148,Transfer
A747700,Transfer
A700041,Transfer
A715102,Adoption
A709147,Adoption
A703174,Adoption
A671598,Transfer
A703575,Adoption
A662257,Adoption
A701764,Return to Owner
A760492,Adoption
A711888,Transfer
A705599,Transfer
A692683,Adoption
A720145,Adoption
A726812,Adoption
A711589,Transfer
A548518,Return to Owner
A730089,Transfer
A670744,Adoption
A719444,Return to Owner
A707919,Adoption
A689019,Transfer
A668390,Transfer
A692053,Transfer
A677922,Adoption
A686034,Transfer
A747296,Transfer
A673768,Transfer
A682730,Transfer
A734945,Adoption
A679948,Adoption
A670184,Adoption
A680197,Transfer
A755557,Transfer
A705391,Return to Owner
A722989,Adoption
A541517,Return to Owner
A755334,Adoption
A693151,Adoption
A740134,Adoption
A764093,Adoption
A702034,Adoption
A662219,Adoption
A727076,Transfer
A666500,Transfer
A761140,Return to Owner
A755134,Adoption
A704191,Transfer
A665975,Return to Owner
A728304,Transfer
A721892,Adoption
A712467,Transfer
A765777,Adoption
A691636,Adoption
A723591,Transfer
A665683,Adoption
A720754,Adoption
A730573,Return to Owner
A729219,Adoption
A676531,Adoption
A696419,Adoption
A751840,Transfer
A747888,Adoption
A691303,Adoption
A698957,Return to Owner
A684915,Adoption
A731756,Adoption
A683824,Transfer
A722598,Adoption
A669338,Adoption
A732906,Return to Owner
A539059,Adoption
A660910,Adoption
A671577,Adoption
A738953,Adoption
A720115,Adoption
A705810,Adoption
A700546,Euthanasia
A735684,Adoption
A765222,Adoption
A700057,Adoption
A700016,Transfer
A710682,Transfer
A748159,Transfer
A750055,Transfer
A734625,Adoption
A727817,Adoption
A703358,Transfer
A682588,Adoption
A742469,Return to Owner
A708369,Transfer
A676014,Transfer
A715146,Transfer
A691607,Adoption
A749634,Adoption
A680471,Adoption
A666456,Transfer
A727823,Transfer
A737310,Adoption
A716584,Transfer
A719486,Adoption
A743791,Disposal
A748935,Adoption
A751851,Adoption
A696333,Transfer
A745634,Adoption
A674020,Transfer
A716175,Adoption
A719933,Transfer
A665244,Return to Owner
A635999,Return to Owner
A756845,Transfer
A763945,Adoption
A689564,Adoption
A674675,Transfer
A701578,Transfer
A731260,Adoption
A718347,Return to Owner
A701782,Adoption
A693027,Transfer
A712354,Adoption
A714720,Transfer
A669241,Adoption
A694427,Adoption
A765284,Adoption
A694332,Transfer
A717657,Return to Owner
A753424,Transfer
A712786,Transfer
A703175,Return to Owner
A689565,Adoption
A682967,Adoption
A762587,Adoption
A675404,Transfer
A734403,Transfer
A674367,Adoption
A681398,Transfer
A741295,Return to Owner
A748212,Adoption
A736635,Adoption
A682113,Adoption
A743442,Return to Owner
A741623,Adoption
A712173,Transfer
A687295,Transfer
A702041,Adoption
A652261,Adoption
A693388,Adoption
A706494,Transfer
A593205,Return to Owner
A729494,Adoption
A709979,Transfer
A712930,Adoption
A704457,Adoption
A696987,Transfer
A754163,Transfer
A722442,Transfer
A680154,Adoption
A741304,Adoption
A737016,Transfer
A597129,Adoption
A726551,Adoption
A755693,Transfer
A733859,Adoption
A699625,Adoption
A697397,Transfer
A706735,Return to Owner
A711302,Transfer
A710490,Adoption
A722324,Adoption
A731871,Transfer
A664054,Adoption
A749861,Adoption
A642607,Adoption
A689307,Return to Owner
A697843,Adoption
A744696,Transfer
A726501,Transfer
A760483,Transfer
A701187,Adoption
A762639,Transfer
A760165,Transfer
A751562,Adoption
A665615,Adoption
A699326,Euthanasia
A717111,Adoption
A560226,Adoption
A683768,Adoption
A708804,Transfer
A763218,Adoption
A727719,Adoption
A678416,Return to Owner
A688707,Transfer
A715222,Return to Owner
A670488,Return to Owner
A677063,Euthanasia
A700527,Adoption
A695025,Return to Owner
A706875,Return to Owner
A670417,Return to Owner
A740347,Adoption
A753872,Adoption
A755018,Transfer
A713536,Transfer
A720304,Transfer
A684786,Transfer
A755997,Adoption
A695141,Adoption
A710430,Return to Owner
A693076,Adoption
A711405,Transfer
A699820,Return to Owner
A714247,Transfer
A689227,Transfer
A749572,Transfer
A680210,Return to Owner
A728518,Adoption
A738203,Transfer
A705790,Transfer
A760321,Transfer
A750418,Return to Owner
A716105,Transfer
A677262,Adoption
A664178,Transfer
A722950,Adoption
A672492,Return to Owner
A671890,Return to Owner
A763638,Adoption
A727968,Transfer
A687575,Adoption
A674171,Adoption
A730193,Transfer
A741144,Return to Owner
A684441,Transfer
A706202,Transfer
A696451,Transfer
A713107,Adoption
A549282,Return to Owner
A689582,Adoption
A654847,Return to Owner
A683794,Transfer
A707716,Return to Owner
A706106,Transfer
A758581,Adoption
A669404,Transfer
A745763,Transfer
A694806,Adoption
A742763,Transfer
A762420,Adoption
A711013,Transfer
A706828,Adoption
A756066,Adoption
A590157,Adoption
A416128,Adoption
A612854,Adoption
A708918,Transfer
A707832,Adoption
A738359,Adoption
A731309,Transfer
A745027,Adoption
A760502,Adoption
A716878,Adoption
A752143,Adoption
A680289,Adoption
A717226,Return to Owner
A707804,Adoption
A697364,Adoption
A685084,Adoption
A743602,Transfer
A755561,Transfer
A697950,Adoption
A717999,Transfer
A760009,Transfer
A706341,Transfer
A748631,Adoption
A750282,Transfer
A616556,Return to Owner
A758226,Adoption
A700815,Transfer
A717094,Return to Owner
A684646,Adoption
A704302,Adoption
A744392,Adoption
A740690,Transfer
A692550,Adoption
A711137,Transfer
A679205,Adoption
A733978,Adoption
A687739,Adoption
A688747,Transfer
A694320,Euthanasia
A664482,Adoption
A707572,Transfer
A691880,Transfer
A706183,Adoption
A734401,Adoption
A688518,Adoption
A689969,Adoption
A732883,Adoption
A713385,Transfer
A746922,Adoption
A720405,Transfer
A708381,Adoption
A726117,Return to Owner
A675635,Adoption
A667926,Transfer
A697159,Adoption
A731160,Adoption
A726939,Adoption
A719267,Transfer
A743675,Return to Owner
A713788,Adoption
A670244,Return to Owner
A756219,Transfer
A740039,Adoption
A690703,Adoption
A694615,Transfer
A751382,Adoption
A727578,Adoption
A717278,Adoption
A727245,Transfer
A753984,Transfer
A669927,Adoption
A764530,Adoption
A764185,Transfer
A763389,Adoption
A753314,Transfer
A668455,Adoption
A741407,Return to Owner
A729816,Adoption
A715739,Return to Owner
A723418,Transfer
A737240,Adoption
A763671,Adoption
A732775,Adoption
A699331,Transfer
A762009,Transfer
A742109,Return to Owner
A683865,Adoption
A763402,Transfer
A733440,Adoption
A677301,Transfer
A704707,Transfer
A734707,Adoption
A673874,Transfer
A742622,Adoption
A603621,Adoption
A676268,Adoption
A730732,Adoption
A704672,Adoption
A674489,Adoption
A725064,Adoption
A682059,Adoption
A746222,Disposal
A726716,Adoption
A719502,Transfer
A741105,Adoption
A710633,Transfer
A674862,Return to Owner
A741522,Adoption
A707358,Transfer
A752654,Transfer
A693350,Adoption
A740553,Adoption
A712612,Adoption
A711535,Adoption
A682017,Adoption
A703981,Transfer
A726646,Transfer
A679579,Adoption
A698780,Transfer
A703081,Transfer
A663714,Return to Owner
A708335,Transfer
A670444,Transfer
A681838,Adoption
A741032,Adoption
A673314,Return to Owner
A743607,Transfer
A719997,Transfer
A664593,Adoption
A676417,Adoption
A647710,Adoption
A666684,Transfer
A759008,Adoption
A698073,Adoption
A717797,Adoption
A733927,Adoption
A738760,Transfer
A697768,Transfer
A686415,Return to Owner
A554827,Return to Owner
A733466,Transfer
A672494,Adoption
A694590,Adoption
A669799,Transfer
A724956,Adoption
A710064,Transfer
A705989,Return to Owner
A676790,Transfer
A754239,Transfer
A665983,Transfer
A749676,Adoption
A732233,Adoption
A704765,Adoption
A695155,Adoption
A717233,Adoption
A668004,Adoption
A756100,Transfer
A680111,Return to Owner
A707702,Adoption
A703190,Transfer
A667830,Transfer
A745014,Transfer
A726095,Adoption
A757113,Adoption
A687477,Transfer
A704218,Adoption
A685224,Adoption
A712679,Adoption
A683383,Transfer
A707074,Transfer
A695514,Transfer
A695867,Adoption
A713729,Transfer
A752779,Transfer
A687690,Transfer
A675002,Adoption
A700868,Transfer
A743874,Adoption
A756524,Return to Owner
A742934,Transfer
A679454,Euthanasia
A695586,Adoption
A724104,Adoption
A678280,Transfer
A691714,Adoption
A686192,Transfer
A737697,Adoption
A695225,Transfer
A668009,Adoption
A737308,Transfer
A729459,Return to Owner
A713798,Transfer
A726387,Transfer
A734638,Adoption
A723972,Adoption
A631764,Adoption
A752941,Transfer
A721839,Adoption
A683022,Return to Owner
A687321,Transfer
A663319,Adoption
A736038,Adoption
A760560,Adoption
A721563,Transfer
A725459,Transfer
A681492,Return to Owner
A685637,Adoption
A664907,Adoption
A752274,Return to Owner
A711736,Adoption
A759136,Adoption
A750810,Adoption
A762461,Return to Owner
A705859,Transfer
A708352,Transfer
A762010,Adoption
A680957,Adoption
A744897,Transfer
A718567,Transfer
A729648,Return to Owner
A716152,Transfer
A701166,Adoption
A707012,Transfer
A728810,Transfer
A701112,Adoption
A684747,Transfer
A680750,Adoption
A677716,Adoption
A749653,Euthanasia
A625381,Adoption
A718484,Adoption
A757253,Transfer
A701457,Adoption
A756436,Adoption
A669971,Adoption
A762942,Adoption
A755953,Adoption
A734173,Adoption
A716944,Adoption
A708982,Adoption
A738546,Transfer
A735806,Adoption
A701930,Adoption
A691176,Euthanasia
A756718,Adoption
A704192,Adoption
A742448,Adoption
A733499,Adoption
A671592,Transfer
A689721,Adoption
A746332,Adoption
A693898,Adoption
A686831,Transfer
A741080,Transfer
A642227,Adoption
A684018,Adoption
A730249,Adoption
A729190,Adoption
A688023,Transfer
A719766,Adoption
A727693,Adoption
A705149,Disposal
A689253,Adoption
A760956,Adoption
A699098,Transfer
A735010,Return to Owner
A689763,Return to Owner
A755902,Transfer
A679202,Transfer
A738445,Adoption
A751752,Adoption
A701474,Adoption
A694692,Adoption
A669692,Transfer
A746167,Adoption
A709161,Transfer
A757714,Return to Owner
A677054,Adoption
A688541,Transfer
A744468,Transfer
A757339,Transfer
A678463,Transfer
A712790,Adoption
A756816,Transfer
A730743,Adoption
A728548,Transfer
A763961,Return to Owner
A755443,Transfer
A730073,Adoption
A727230,Transfer
A727394,Transfer
A697075,Adoption
A735995,Transfer
A687474,Transfer
A757081,Return to Owner
A678752,Transfer
A693719,Adoption
A742439,Adoption
A756679,Transfer
A741478,Adoption
A732683,Transfer
A702591,Adoption
A729977,Transfer
A676781,Adoption
A760571,Transfer
A688772,Euthanasia
A735607,Adoption
A713033,Adoption
A740582,Transfer
A704514,Return to Owner
A713407,Adoption
A728963,Transfer
A713148,Adoption
A737837,Return to Owner
A747159,Euthanasia
A652030,Adoption
A682519,Adoption
A702461,Adoption
A697737,Adoption
A756515,Transfer
A668732,Adoption
A731802,Adoption
A670696,Transfer
A687997,Transfer
A712409,Adoption
A694384,Adoption
A689994,Adoption
A716712,Transfer
A763706,Adoption
A692159,Adoption
A668381,Transfer
A730858,Adoption
A727730,Transfer
A683269,Transfer
A682667,Return to Owner
A737671,Adoption
A510803,Return to Owner
A717760,Adoption
A739112,Adoption
A757016,Adoption
A753565,Adoption
A724358,Transfer
A684568,Adoption
A654782,Adoption
A721092,Transfer
A693531,Adoption
A737841,Adoption
A684415,Adoption
A734697,Adoption
A742431,Adoption
A752747,Transfer
A725002,Adoption
A665312,Adoption
A673509,Adoption
A533019,Transfer
A736805,Adoption
A684372,Adoption
A701217,Adoption
A695279,Adoption
A728268,Transfer
A736358,Adoption
A725674,Transfer
A689524,Return to Owner
A762483,Transfer
A704379,Adoption
A669091,Return to Owner
A755456,Transfer
A715875,Return to Owner
A758142,Adoption
A717505,Adoption
A758190,Transfer
A694382,Adoption
A683695,Adoption
A696083,Return to Owner
A663968,Adoption
A749269,Transfer
A718155,Adoption
A732353,Adoption
A735812,Transfer
A757385,Transfer
A709223,Transfer
A740768,Euthanasia
A714012,Transfer
A714708,Adoption
A762977,Adoption
A683591,Transfer
A672456,Adoption
A697571,Transfer
A739202,Adoption
A735644,Adoption
A712571,Adoption
A666482,Euthanasia
A674885,Transfer
A729326,Adoption
A693173,Adoption
A691250,Return to Owner
A680669,Adoption
A701368,Transfer
A728356,Adoption
A690705,Transfer
A677883,Euthanasia
A762342,Adoption
A715354,Adoption
A714324,Adoption
A735139,Adoption
A713713,Return to Owner
A655523,Adoption
A744116,Adoption
A711996,Transfer
A483240,Adoption
A708044,Transfer
A683730,Transfer
A644876,Adoption
A725059,Transfer
A692611,Adoption
A688711,Transfer
A741783,Adoption
A690312,Transfer
A736954,Adoption
A721221,Adoption
A738356,Transfer
A755115,Adoption
A680654,Adoption
A680710,Transfer
A728151,Adoption
A749083,Transfer
A728245,Adoption
A682804,Adoption
A739057,Adoption
A725770,Transfer
A761248,Adoption
A679017,Transfer
A761350,Transfer
A715729,Adoption
A701556,Return to Owner
A704266,Transfer
A670589,Adoption
A738905,Transfer
A734839,Adoption
A666524,Adoption
A751582,Transfer
A576186,Transfer
A682324,Adoption
A711918,Adoption
A685835,Return to Owner
A751787,Adoption
A726771,Adoption
A675024,Transfer
A751252,Adoption
A666742,Transfer
A741830,Adoption
A675605,Adoption
A685116,Return to Owner
A727304,Adoption
A666436,Adoption
A710276,Transfer
A731729,Transfer
A673112,Adoption
A643402,Adoption
A665258,Adoption
A726565,Adoption
A723698,Adoption
A716921,Adoption
A761016,Adoption
A677954,Return to Owner
A564596,Adoption
A680474,Adoption
A697780,Adoption
A738779,Adoption
A763763,Adoption
A672073,Adoption
A679657,Adoption
A727568,Transfer
A726262,Adoption
A726240,Adoption
A738966,Return to Owner
A721990,Adoption
A712395,Adoption
A678889,Adoption
A756656,Return to Owner
A751634,Transfer
A732812,Transfer
A751031,Adoption
A752659,Transfer
A720804,Return to Owner
A751371,Adoption
A688511,Transfer
A731711,Transfer
A764469,Adoption
A723349,Adoption
A695485,Transfer
A736335,Return to Owner
A759177,Adoption
A737621,Return to Owner
A673852,Adoption
A727729,Transfer
A405494,Return to Owner
A687580,Transfer
A751573,Transfer
A676636,Adoption
A670252,Transfer
A762551,Adoption
A730606,Transfer
A734214,Adoption
A699610,Adoption
A691994,Adoption
A721330,Adoption
A738342,Adoption
A719778,Transfer
A681012,Adoption
A707221,Transfer
A709245,Adoption
A744846,Adoption
A680839,Adoption
A699252,Euthanasia
A676922,Transfer
A735557,Transfer
A662854,Return to Owner
A676721,Transfer
A757271,Adoption
A664285,Transfer
A727238,Transfer
A709314,Transfer
A603684,Transfer
A706700,Adoption
A692937,Adoption
A758096,Adoption
A677096,Transfer
A740825,Adoption
A719445,Adoption
A671390,Transfer
A708899,Adoption
A669896,Adoption
A700226,Return to Owner
A709415,Transfer
A670950,Transfer
A688216,Transfer
A759144,Adoption
A734589,Transfer
A729080,Adoption
A750092,Adoption
A721984,Adoption
A476874,Adoption
A652306,Adoption
A590957,Transfer
A752950,Adoption
A678304,Transfer
A682631,Return to Owner
A704559,Transfer
A748377,Adoption
A727694,Adoption
A753225,Transfer
A685899,Transfer
A707857,Adoption
A669448,Return to Owner
A686396,Transfer
A739942,Adoption
A735790,Return to Owner
A549865,Adoption
A679158,Adoption
A727312,Adoption
A558397,Transfer
A715086,Adoption
A716700,Adoption
A740561,Adoption
A753931,Transfer
A719851,Adoption
A685831,Adoption
A749529,Adoption
A650214,Adoption
A729145,Adoption
A715341,Transfer
A758232,Adoption
A734813,Transfer
A686453,Adoption
A710938,Transfer
A695426,Transfer
A752716,Transfer
A722781,Adoption
A696115,Transfer
A309829,Transfer
A758521,Transfer
A710313,Transfer
A708768,Adoption
A759344,Transfer
A668079,Adoption
A765651,Return to Owner
A748074,Return to Owner
A700970,Return to Owner
A696342,Transfer
A699283,Return to Owner
A723677,Transfer
A696612,Adoption
A709472,Adoption
A689380,Return to Owner
A734869,Adoption
A670151,Adoption
A748662,Adoption
A686891,Transfer
A747427,Return to Owner
A682595,Transfer
A737259,Transfer
A750845,Transfer
A764713,Adoption
A705515,Transfer
A733814,Adoption
A747746,Adoption
A726536,Return to Owner
A696806,Adoption
A699750,Adoption
A722430,Euthanasia
A670850,Adoption
A676228,Adoption
A674584,Adoption
A729885,Adoption
A751284,Transfer
A696896,Transfer
A719481,Transfer
A727200,Transfer
A697305,Adoption
